model,provider,config,run_mode,date,f1,f2,precision,recall,jaccard,laziness,cost_usd,duration_s,samples,run_id
gemini-2.5-pro,vertex_ai,M0,official,2026-04-16T16:39:18.976443,0.757999098693105,0.70660393211225,0.8625641025641025,0.6760450160771704,0.28021673205630543,0.3167202572347267,58.68661499999991,6286.099531,2999,classify_then_extract_gemini-2.5-pro_20260416_145432
gemini-2.5-flash,vertex_ai,M0,official,2026-04-16T10:18:00.019573,0.685308056872038,0.6191128617914027,0.8339100346020761,0.581657280772325,0.30264704779496787,0.4094931617055511,13.729225800000028,3274.062172,2998,classify_then_extract_gemini-2.5-flash_20260416_092325
claude-sonnet-4.6,anthropic,M0,official,2026-04-16T10:15:44.546356,0.8382126348228044,0.8596713021491784,0.8047337278106509,0.8745980707395499,0.3403224115320109,0.10530546623794212,184.1142120000004,3138.723489,2999,classify_then_extract_claude-sonnet-4.6_20260416_092325
gemini-3-flash,vertex_ai,M0,official,2026-04-16T10:04:27.291179,0.8245828245828245,0.8223737619743464,0.8282910874897792,0.8209076175040518,0.40783819874722255,0.15964343598055106,26.240550499999873,2461.326735,2984,classify_then_extract_gemini-3-flash_20260416_092325
gpt-4.1-mini,openai,M0,official,2026-04-16T09:04:08.112647,0.8349218452154022,0.8623405260670971,0.7929036929761043,0.8816425120772947,0.33277448740249527,0.08293075684380032,21.422417199999998,2138.179675,2887,classify_then_extract_gpt-4.1-mini_20260416_082829
gpt-4.1,openai,M0,official,2026-04-16T09:03:01.771358,0.8371278458844134,0.8279923783128357,0.8528099910793934,0.82201203783319,0.28920990677388336,0.1642304385210662,91.50229000000017,2071.826612,2786,classify_then_extract_gpt-4.1_20260416_082829
gpt-4.1-nano,openai,M0,official,2026-04-16T08:44:25.066258,0.6956521739130433,0.6590114827758362,0.7666989351403679,0.6366559485530546,0.33986984591762137,0.25562700964630225,5.102929099999995,955.144708,2999,classify_then_extract_gpt-4.1-nano_20260416_082829
claude-opus-4.6,anthropic,M0,official,2026-04-16T02:28:15.026120,0.8342165026495079,0.864449325384374,0.7882689556509299,0.8858520900321544,0.4334880955746344,0.07636655948553055,302.9640650000002,2848.268322,2999,classify_then_extract_claude-opus-4.6_20260416_014046
claude-haiku-4.5,anthropic,M0,official,2026-04-16T02:08:53.772566,0.7877339705296693,0.7920871375941053,0.7805840568271507,0.795016077170418,0.3654044884116108,0.16881028938906753,60.66184499999989,1687.031942,2999,classify_then_extract_claude-haiku-4.5_20260416_014046
claude-sonnet-4,anthropic,M0,official,2026-04-16T00:46:59.610981,0.8422238918106686,0.8766030653737881,0.7905500705218618,0.9011254019292605,0.42703907447492795,0.06993569131832797,184.58370599999986,2959.583618,2999,classify_then_extract_claude-sonnet-4_20260415_235740
gemini-3.1-pro,vertex_ai,M1,official,2026-04-16T21:36:04.161722,0.8055451479955039,0.839712544914857,0.7543859649122807,0.8641479099678456,0.4204169544081392,0.1085209003215434,78.72849800000101,11309.036689,2999,multiagent_gemini-3.1-pro_20260416_182735
gemini-2.5-pro,vertex_ai,M1,official,2026-04-16T17:40:23.692272,0.7660757733750435,0.8337116053865941,0.6748315982853643,0.8858520900321544,0.3747602254290269,0.06430868167202572,55.57307375000011,9950.786755,2999,multiagent_gemini-2.5-pro_20260416_145432
gemini-2.5-flash,vertex_ai,M1,official,2026-04-16T10:40:17.039015,0.7908774642442985,0.8094635227092895,0.7617274758004468,0.822347266881029,0.38409728907853374,0.13585209003215434,13.307857699999886,4611.056808,2999,multiagent_gemini-2.5-flash_20260416_092325
claude-sonnet-4.6,anthropic,M1,official,2026-04-16T10:30:45.586136,0.8019578313253012,0.8335942391984972,0.7542492917847026,0.8561093247588425,0.3967973860240988,0.11012861736334405,137.75313299999905,4039.615029,2999,multiagent_claude-sonnet-4.6_20260416_092325
gemini-3-flash,vertex_ai,M1,official,2026-04-16T10:30:10.659864,0.7642886942010847,0.7472670908794258,0.7944492627927147,0.7363344051446945,0.34486208416660724,0.24035369774919615,19.645139499999722,4004.574376,2999,multiagent_gemini-3-flash_20260416_092326
gpt-4.1,openai,M1,official,2026-04-16T09:11:39.362876,0.7926879933527212,0.7769995113210622,0.820292347377472,0.7668810289389068,0.29758814349289536,0.2057877813504823,56.10663800000019,2589.303647,2999,multiagent_gpt-4.1_20260416_082830
gpt-4.1-mini,openai,M1,official,2026-04-16T09:10:32.579366,0.7779121322047562,0.776597456945115,0.7801131770412287,0.7757234726688103,0.3187919577996261,0.17845659163987138,13.219674399999944,2522.530076,2999,multiagent_gpt-4.1-mini_20260416_082830
gpt-4.1-nano,openai,M1,official,2026-04-16T08:46:53.335961,0.633130081300813,0.5464912280701755,0.8604972375690608,0.5008038585209004,0.27149452647341565,0.4228295819935691,3.635751199999977,1103.375617,2999,multiagent_gpt-4.1-nano_20260416_082829
claude-opus-4.6,anthropic,M1,official,2026-04-16T02:39:46.465486,0.8248968878890138,0.8595092983278636,0.7730147575544624,0.8842443729903537,0.42935151841516,0.06591639871382636,215.4927549999985,3539.657999,2999,multiagent_claude-opus-4.6_20260416_014046
claude-haiku-4.5,anthropic,M1,official,2026-04-16T02:15:44.411692,0.8055975794251136,0.8351631116687579,0.7607142857142857,0.8561093247588425,0.4029856613896727,0.08762057877813505,45.00203300000057,2097.614898,2999,multiagent_claude-haiku-4.5_20260416_014046
claude-sonnet-4,anthropic,M1,official,2026-04-16T01:37:57.924581,0.778909090909091,0.826133909287257,0.7111553784860558,0.8609324758842444,0.49069487819058205,0.07797427652733119,127.16721899999996,3058.179548,2999,multiagent_claude-sonnet-4_20260416_004659
gpt-4.1-mini,openai,M6,official,2026-04-17T08:04:44.648690,0.735208535402522,0.8329670329670331,0.6149269875608437,0.9139871382636656,0.3865417463018428,0.022508038585209004,15.783542800000031,1646.472497,2987,combined_prompts_gpt-4.1-mini_20260417_073718
gpt-4.1,openai,M6,official,2026-04-17T07:53:21.909650,0.7691266079891672,0.8533653846153847,0.6604651162790698,0.9205834683954619,0.4453021251136523,0.03241491085899514,73.67845800000002,963.721311,2978,combined_prompts_gpt-4.1_20260417_073718
gpt-4.1-nano,openai,M6,official,2026-04-17T07:06:22.954431,0.5894160583941606,0.5452397029034436,0.6814345991561181,0.5192926045016077,0.395626463034438,0.13504823151125403,3.629606899999999,731.068795,2975,combined_prompts_gpt-4.1-nano_20260417_065411
gemini-2.5-pro,vertex_ai,M6,official,2026-04-17T04:19:32.039662,0.7113076437144663,0.8161786024934764,0.5858480749219563,0.905144694533762,0.43959544430472425,0.01045016077170418,58.21207374999999,14759.640685,2999,combined_prompts_gemini-2.5-pro_20260417_001332
gemini-3-flash,vertex_ai,M6,official,2026-04-17T02:35:37.878608,0.5640663607483234,0.6085300837776085,0.5028319697923223,0.6422829581993569,0.3316489540686702,0.005627009646302251,19.18420849999996,8525.437736,2999,combined_prompts_gemini-3-flash_20260417_001332
gemini-2.5-flash,vertex_ai,M6,official,2026-04-17T02:19:59.544125,0.7489104927924907,0.8317200297840655,0.6423231742380678,0.8979099678456591,0.4620878134751785,0.02009646302250804,13.989882999999994,7587.168557,2999,combined_prompts_gemini-2.5-flash_20260417_001332
gemini-3.1-pro,vertex_ai,M6,official,2026-04-17T01:58:07.607199,0.7995681899964016,0.8535648432698216,0.7233072916666666,0.8938053097345132,0.5335563828130829,0.032180209171359615,72.6923799999998,6275.16005,2998,combined_prompts_gemini-3.1-pro_20260417_001332
claude-sonnet-4.6,anthropic,M6,official,2026-04-16T19:55:56.003969,0.7298668357641089,0.8357537031658436,0.6026178010471204,0.9252411575562701,0.46018770000256676,0.008038585209003215,128.23561500000002,3228.547149,2999,combined_prompts_claude-sonnet-4.6_20260416_190207
claude-sonnet-4,anthropic,M6,official,2026-04-16T19:55:50.915158,0.7937431793379409,0.8416910970529239,0.7249169435215946,0.8770096463022508,0.5243787628582509,0.05546623794212219,125.41129800000004,3223.467866,2999,combined_prompts_claude-sonnet-4_20260416_190207
claude-opus-4.6,anthropic,M6,official,2026-04-16T19:53:35.443781,0.7642495784148398,0.845901149768553,0.6583381754793725,0.9107717041800643,0.49239251409059354,0.01607717041800643,211.10395000000017,3087.979902,2999,combined_prompts_claude-opus-4.6_20260416_190207
claude-haiku-4.5,anthropic,M6,official,2026-04-16T19:32:23.514067,0.753984753984754,0.8220006044122091,0.6626065773447016,0.8745980707395499,0.44863414070401414,0.03054662379421222,43.292335999999835,1816.078875,2999,combined_prompts_claude-haiku-4.5_20260416_190207
